id;account_number;balance;reward_points;user_id
1;exploit Keyboard ivory;35676;61473;Ergonomic Rubber Shoes black
2;Steel Licensed;38270;81578;applications HTTP
3;core;21266;82324;gold
4;user-centric;3433;35442;Metal deliver
5;withdrawal;15368;32748;Faroe Islands
6;Terrace;67265;40898;envisioneer
7;Chief Bike;2122;81098;Credit Card Account Soft Rubber
8;disintermediate Faroe Islands;92776;12242;PCI website Pizza
9;invoice Roads;91128;12610;harness Gabon
10;Monitored zero administration;53702;91523;User-centric Central Villages
